tarih,sayi_1,sayi_2,sayi_3,sayi_4,sayi_5,sayi_6
2021-05-13,40,45,49,60,66,85
2021-05-15,17,20,63,70,79,84
2021-05-17,5,6,12,13,32,90
2021-05-20,2,13,19,36,43,72
2021-05-22,8,26,35,55,63,89
2021-05-24,11,26,52,59,67,79
2021-05-27,25,41,44,48,55,67
2021-05-29,2,35,40,46,59,78
2021-05-31,8,25,32,42,52,59
2021-06-03,30,36,37,67,72,77
2021-06-05,24,31,66,74,76,79
2021-06-07,9,16,18,51,65,82
2021-06-10,8,20,32,48,54,59
2021-06-12,1,12,31,40,47,68
2021-06-15,11,15,42,45,68,86
2021-06-17,17,36,39,55,60,82
2021-06-19,6,30,68,71,85,89
2021-06-22,5,30,33,38,49,70
2021-06-24,18,22,37,48,49,88
2021-06-26,10,22,34,57,71,80
2021-06-29,9,57,78,79,85,87
2021-07-01,27,51,68,69,71,77
2021-07-03,21,25,33,61,77,82
2021-07-06,9,23,70,72,85,86
2021-07-08,36,41,49,51,53,58
2021-07-10,5,12,31,60,63,89
2021-07-13,29,31,38,40,45,76
2021-07-15,1,5,15,27,67,88
2021-07-17,4,18,20,23,42,53
2021-07-20,1,4,15,65,72,87
2021-07-22,11,36,37,51,52,76
2021-07-24,1,17,18,21,43,49
2021-07-27,5,9,17,41,62,86
2021-07-29,3,19,37,60,82,88
2021-07-31,11,13,57,59,77,86
2021-08-03,2,3,9,32,40,69
2021-08-05,8,22,42,66,67,76
2021-08-07,21,28,48,64,70,81
2021-08-10,18,35,50,51,56,88
2021-08-12,4,14,25,29,53,88
2021-08-14,48,50,53,56,76,82
2021-08-17,11,37,40,63,75,78
2021-08-19,7,17,24,53,57,76
2021-08-21,5,28,60,72,78,87
2021-08-24,22,25,27,69,83,87
2021-08-26,31,43,45,58,67,72
2021-08-28,11,29,31,51,70,73
2021-08-31,5,13,20,29,82,83
2021-09-02,2,5,10,23,57,61
2021-09-04,10,27,35,43,48,55
2021-09-07,6,13,47,54,79,80
2021-09-09,17,18,44,61,75,90
2021-09-11,1,45,72,78,83,84
2021-09-14,8,23,35,39,65,86
2021-09-16,7,10,20,40,44,45
2021-09-18,16,23,25,67,69,75
2021-09-21,4,13,25,35,78,86
2021-09-23,12,19,48,57,81,88
2021-09-25,11,23,50,51,59,82
2021-09-28,4,17,57,58,76,89
2021-09-30,19,39,61,73,84,87
2021-10-02,10,11,20,40,55,84
2021-10-05,4,5,15,18,32,36
2021-10-07,3,28,36,63,71,77
2021-10-09,5,9,13,30,52,56
2021-10-12,7,8,45,54,60,83
2021-10-14,1,11,65,76,81,83
2021-10-16,15,29,36,68,80,81
2021-10-19,11,30,35,60,72,78
2021-10-21,5,11,28,31,67,89
2021-10-23,22,49,52,61,68,79
2021-10-26,20,54,63,71,79,87
2021-10-28,8,14,23,49,64,78
2021-10-30,6,20,30,87,89,90
2021-11-02,19,21,37,39,55,78
2021-11-04,12,21,25,61,67,80
2021-11-06,1,27,50,65,79,80
2021-11-09,1,12,13,63,73,77
2021-11-11,1,7,8,10,27,60
2021-11-13,8,18,53,74,79,82
2021-11-16,27,35,41,50,61,89
2021-11-18,10,31,40,55,59,70
2021-11-20,9,26,55,56,70,86
2021-11-23,2,17,27,38,41,76
2021-11-25,7,56,69,73,79,90
2021-11-27,4,10,36,54,55,84
2021-11-30,20,24,38,39,66,85
2021-12-02,8,39,40,75,78,87
2021-12-04,14,19,34,37,65,89
2021-12-07,29,32,36,54,60,69
2021-12-09,2,12,67,72,83,86
2021-12-11,6,11,22,57,71,75
2021-12-14,23,27,44,62,63,68
2021-12-16,7,22,23,25,27,45
2021-12-18,2,15,17,33,60,84
2021-12-21,8,20,33,75,77,83
2021-12-23,9,19,25,28,61,62
2021-12-25,14,19,53,54,64,70
2021-12-28,16,18,22,52,72,84
2021-12-30,20,48,59,63,66,90
2022-01-01,1,8,32,73,74,79
2022-01-04,11,12,28,44,65,66
2022-01-06,13,16,25,31,71,77
2022-01-08,11,19,34,71,78,90
2022-01-11,4,10,43,60,82,90
2022-01-13,5,10,25,34,36,37
2022-01-15,1,12,23,40,45,72
2022-01-18,7,11,45,54,58,66
2022-01-20,3,23,24,34,58,84
2022-01-22,37,42,49,80,87,89
2022-01-25,7,11,31,55,60,89
2022-01-27,40,41,50,63,64,88
2022-01-29,8,12,27,71,81,84
2022-02-01,22,23,36,49,62,85
2022-02-03,43,44,48,65,66,77
2022-02-05,1,14,25,30,59,88
2022-02-08,19,29,38,42,69,76
2022-02-10,9,13,53,81,83,86
2022-02-12,15,51,75,78,88,90
2022-02-15,11,27,64,82,85,89
2022-02-17,5,7,33,53,67,90
2022-02-19,4,13,33,39,45,78
2022-02-22,1,10,15,29,59,67
2022-02-24,34,44,56,57,66,68
2022-02-26,2,53,54,57,74,90
2022-03-01,4,32,53,78,81,89
