cekilis_no,tarih,cekilen_1,cekilen_2,cekilen_3,cekilen_4,cekilen_5,cekilen_6,cekilen_7,cekilen_8,cekilen_9,cekilen_10,cekilen_11,cekilen_12,cekilen_13,cekilen_14,cekilen_15,cekilen_16,cekilen_17,cekilen_18,cekilen_19,cekilen_20,cekilen_21,cekilen_22
1,2020-08-03,1,3,6,9,10,13,15,18,25,42,45,46,51,52,54,59,61,65,68,69,73,78
2,2020-08-10,2,7,9,16,27,31,42,43,44,45,48,49,51,52,53,58,63,64,65,68,69,79
3,2020-08-17,2,4,5,12,20,22,23,25,26,27,28,29,46,51,56,57,58,59,60,65,67,71
4,2020-08-24,1,2,8,9,11,12,13,16,19,21,31,32,33,37,49,50,51,52,62,69,74,76
5,2020-08-31,2,4,8,10,13,15,19,24,27,29,34,40,44,45,46,48,51,53,62,75,76,80
6,2020-09-07,1,5,10,19,20,26,29,36,39,42,55,59,61,64,65,68,71,72,74,77,78,80
7,2020-09-14,1,3,6,7,13,16,17,26,28,29,30,37,39,42,43,49,64,68,69,77,79,80
8,2020-09-21,1,10,12,17,19,22,24,27,29,30,32,38,45,49,51,53,55,58,61,62,70,78
9,2020-09-28,4,5,7,8,11,13,20,23,29,32,33,42,46,48,52,56,57,68,74,75,77,80
10,2020-10-05,5,6,10,12,13,15,16,20,26,32,34,40,48,52,55,57,58,60,69,73,75,78
11,2020-10-12,5,10,16,18,19,23,24,32,33,36,40,41,43,45,47,53,57,60,61,62,69,76
12,2020-10-16,6,10,11,19,22,23,24,25,26,30,35,36,38,44,47,52,55,67,70,73,77,78
13,2020-10-19,2,6,8,10,18,20,22,24,30,35,36,37,48,52,53,55,56,60,64,70,71,80
14,2020-10-23,2,3,5,8,14,20,21,23,28,32,34,35,38,40,44,46,51,55,57,60,64,80
15,2020-10-26,1,3,15,32,33,34,37,38,40,43,45,48,52,55,60,61,64,65,66,68,71,78
16,2020-10-30,2,6,8,10,15,19,26,34,40,44,48,49,51,54,57,60,70,71,74,75,77,80
