cekilis_no,tarih,sayi_1,sayi_2,sayi_3,sayi_4,sayi_5,sans_topu
1,2020-08-05,1,4,7,14,24,1
2,2020-08-12,2,7,20,21,33,1
3,2020-08-19,5,13,18,19,21,1
4,2020-08-26,14,15,18,29,34,5
5,2020-09-02,4,5,23,25,29,6
6,2020-09-09,3,5,21,29,32,6
7,2020-09-16,11,12,22,25,33,13
8,2020-09-23,6,11,14,18,34,6
9,2020-09-30,1,4,7,17,23,5
10,2020-10-07,1,6,13,22,23,6
11,2020-10-14,3,4,22,32,33,11
12,2020-10-18,6,10,15,22,29,2
13,2020-10-21,12,16,17,26,32,12
14,2020-10-25,7,12,15,31,34,14
15,2020-10-28,6,18,19,23,27,14
16,2020-11-01,3,5,9,29,34,2
17,2020-11-04,4,27,28,32,34,4
18,2020-11-08,4,5,9,11,30,6
19,2020-11-11,18,22,26,28,33,1
20,2020-11-15,18,20,28,31,32,5
21,2020-11-18,6,8,27,31,32,10
22,2020-11-22,2,16,20,28,31,1
23,2020-11-25,1,7,16,21,22,12
24,2020-11-29,11,13,16,26,32,10
25,2020-12-02,4,9,10,13,33,12
26,2020-12-06,7,21,22,26,34,6
27,2020-12-09,11,17,20,28,29,14
28,2020-12-13,5,9,10,28,33,7
29,2020-12-16,2,12,14,22,30,6
30,2020-12-20,8,9,18,30,32,9
31,2020-12-23,2,11,25,28,33,1
32,2020-12-27,3,7,13,19,28,13
33,2020-12-30,15,16,18,25,31,14
34,2021-01-03,10,12,16,26,29,9
35,2021-01-06,10,14,23,30,34,8
36,2021-01-10,3,10,12,13,17,5
37,2021-01-13,17,19,24,32,34,1
38,2021-01-17,4,7,20,26,27,7
39,2021-01-20,18,19,27,32,34,3
40,2021-01-24,2,16,24,29,30,6
41,2021-01-27,6,12,14,24,30,4
42,2021-01-31,14,16,19,25,34,2
43,2021-02-03,2,3,7,11,15,4
44,2021-02-07,8,9,15,20,30,12
45,2021-02-10,9,21,22,25,31,14
46,2021-02-14,8,9,10,14,17,3
47,2021-02-17,7,11,22,24,31,7
48,2021-02-21,3,6,9,24,29,11
49,2021-02-24,2,17,27,32,34,9
50,2021-02-28,3,5,12,13,31,2
51,2021-03-03,11,20,21,22,34,1
52,2021-03-07,2,11,14,18,31,12
53,2021-03-10,22,28,29,30,32,7
54,2021-03-14,2,7,14,18,30,9
55,2021-03-17,2,8,9,25,27,12
56,2021-03-21,4,14,22,25,28,3
57,2021-03-24,4,9,23,27,31,5
58,2021-03-28,10,12,14,22,28,3
